row,col,pos_x,pos_y,title,id_mp,id_fr
2,20,365,30,Вільне місце,,
2,22,401,30,Стефанчук Руслан Олексійович,202,0
2,24,437,30,Разумков Дмитро Олександрович,201,0
2,26,473,30,Кондратюк Олена Костянтинівна,366,0
2,28,509,30,Вільне місце,,
4,24,437,72,Вільне місце,,
6,12,221,114,Бакумов Олександр Сергійович,150,1
6,13,239,114,Марчук Ігор Петрович,170,1
6,14,257,114,Жупанин Андрій Вікторович,306,1
6,15,275,114,Шевченко Євгеній Володимирович,58,1
6,16,293,114,Яцик Юлія Григорівна,61,1
6,20,365,114,Швець Сергій Федорович,191,1
6,21,383,114,Безугла Мар'яна Володимирівна,194,1
6,22,401,114,Марусяк Олег Романович,251,1
6,23,419,114,Негулевський Ігор Петрович,107,1
6,25,455,114,Мотовиловець Андрій Вікторович,290,1
6,26,473,114,Третьякова Галина Миколаївна,253,1
6,27,491,114,Халімон Павло Віталійович,254,1
6,28,509,114,Гривко Сергій Дмитрович,310,1
6,32,581,114,Михайлюк Галина Олегівна,246,1
6,33,599,114,Одарченко Андрій Миколайович,147,1
6,34,617,114,Ткаченко Олександр Михайлович,118,1
6,35,635,114,Копитін Ігор Володимирович,106,1
6,36,653,114,Красов Олексій Ігорович,157,1
7,11,203,135,Тимофійчук Володимир Ярославович,71,1
7,12,221,135,Сольський Микола Тарасович,321,1
7,13,239,135,Чорноморов Артем Олегович,108,1
7,14,257,135,Камельчук Юрій Олександрович,101,1
7,15,275,135,Чорний Дмитро Сергійович,25,1
7,19,347,135,Бондаренко Олег Володимирович,259,1
7,20,365,135,Літвінов Олександр Миколайович,155,1
7,21,383,135,Каптєлов Роман Володимирович,27,1
7,22,401,135,Юнаков Іван Сергійович,263,1
7,23,419,135,Іванов Володимир Ілліч,162,1
7,25,455,135,Загоруйко Аліна Леонідівна,258,1
7,26,473,135,Гришина Юлія Миколаївна,430,1
7,27,491,135,Ананченко Михайло Олегович,233,1
7,28,509,135,Литвиненко Сергій Анатолійович,133,1
7,29,527,135,Скічко Олександр Олександрович,174,1
7,33,599,135,Наталуха Дмитро Андрійович,214,1
7,34,617,135,Борзова Ірина Наумівна,5,1
7,35,635,135,Рєпіна Елла Анатоліївна,277,1
7,36,653,135,Бондар Ганна Вячеславівна,197,1
7,37,671,135,Жмеренецький Олексій Сергійович,167,1
8,8,149,156,Ткаченко Олександр Владиславович,209,1
8,9,167,156,Заремський Максим Валентинович,179,1
8,10,185,156,Дирдін Максим Євгенович,109,1
8,11,203,156,Бужанський Максим Аркадійович,16,1
8,12,221,156,Верещук Ірина Андріївна,229,1
8,13,239,156,Мисягін Юрій Михайлович,19,1
8,17,311,156,Іванісов Роман Валерійович,130,0
8,18,329,156,Устенко Олексій Олегович,283,1
8,19,347,156,Чернявський Степан Миколайович,115,1
8,20,365,156,Арсенюк Олег Олексійович,172,1
8,21,383,156,Яковлєва Неллі Іллівна,309,1
8,22,401,156,Крейденко Володимир Вікторович,319,1
8,23,419,156,Монастирський Денис Анатолійович,219,1
8,25,455,156,Забуранна Леся Валентинівна,193,1
8,26,473,156,Тарасенко Тарас Петрович,320,1
8,27,491,156,Матусевич Олександр Борисович,68,1
8,28,509,156,Заславський Юрій Іванович,314,1
8,29,527,156,Гурін Дмитро Олександрович,195,1
8,30,545,156,Мошенець Олена Володимирівна,255,1
8,31,563,156,Колюх Валерій Вікторович,74,1
8,35,635,156,Пасічний Олександр Станіславович,104,1
8,36,653,156,Здебський Юрій Вікторович,149,1
8,37,671,156,Березін Максим Юрійович,128,1
8,38,689,156,Ляшенко Анастасія Олексіївна,125,1
8,39,707,156,Брагар Євгеній Вадимович,274,1
8,40,725,156,Торохтій Богдан Григорович,301,1
9,7,131,177,Кисилевський Дмитро Давидович,15,1
9,8,149,177,Шпак Любов Олександрівна,171,1
9,9,167,177,Лис Олена Георгіївна,178,1
9,10,185,177,Касай Костянтин Іванович,126,1
9,11,203,177,Мережко Олександр Олександрович,282,1
9,12,221,177,Мельник Павло Вікторович,63,1
9,16,293,177,Касай Геннадій Олександрович,56,1
9,17,311,177,Подгорна Вікторія Валентинівна,324,1
9,18,329,177,Коваль Ольга Володимирівна,257,1
9,19,347,177,Колісник Анна Сергіївна,291,1
9,20,365,177,Копиленко Олександр Любимович,432,1
9,21,383,177,Гетманцев Данило Олександрович,220,1
9,22,401,177,Бабак Сергій Віталійович,211,1
9,23,419,177,Янченко Галина Ігорівна,205,1
9,25,455,177,Ясько Єлизавета Олексіївна,215,1
9,26,473,177,Качура Олександр Анатолійович,248,1
9,27,491,177,Пивоваров Євген Павлович,152,1
9,28,509,177,Зуєв Максим Сергійович,184,1
9,29,527,177,Лаба Михайло Михайлович,52,1
9,30,545,177,Вагнєр Вікторія Олександрівна,160,1
9,31,563,177,Копанчук Олена Євгенівна,166,1
9,32,581,177,Рубльов Вячеслав Володимирович,11,1
9,36,653,177,Костін Андрій Євгенович,304,1
9,37,671,177,Семінський Олег Валерійович,182,1
9,38,689,177,Кальченко Сергій Віталійович,224,1
9,39,707,177,Горобець Олександр Сергійович,77,1
9,40,725,177,Горенюк Олександр Олександрович,113,1
9,41,743,177,Завітневич Олександр Михайлович,238,1
10,6,113,198,Пуртова Анна Анатоліївна,198,1
10,7,131,198,Мовчан Олексій Васильович,127,1
10,8,149,198,Северин Сергій Сергійович,30,1
10,9,167,198,Якименко Павло Віталійович,295,1
10,10,185,198,Гринчук Оксана Анатоліївна,266,1
10,11,203,198,Ковальчук Олександр Володимирович,129,1
10,15,275,198,Дануца Олександр Анатолійович,81,1
10,16,293,198,Бардіна Марина Олегівна,261,1
10,17,311,198,Циба Тетьяна Вікторівна,428,1
10,18,329,198,Бунін Сергій Валерійович,80,1
10,19,347,198,Герасименко Ігор Леонідович,44,1
10,20,365,198,Кицак Богдан Вікторович,45,1
10,21,383,198,Василевська-Смаглюк Ольга Михайлівна,78,1
10,22,401,198,Демченко Сергій Олексійович,20,1
10,23,419,198,Бородін Владислав Валерійович,29,1
10,25,455,198,Тищенко Микола Миколайович,196,1
10,26,473,198,Буймістер Людмила Анатоліївна,200,1
10,27,491,198,Трухін Олександр Миколайович,31,1
10,28,509,198,Кабанов Олександр Євгенійович,284,1
10,29,527,198,Кузнєцов Олексій Олександрович,87,1
10,30,545,198,Любота Дмитро Валерійович,154,1
10,31,563,198,Нестеренко Кирилл Олександрович,17,1
10,32,581,198,Вільне місце,,
10,33,599,198,Овчинникова Юлія Юріївна,281,1
10,37,671,198,Радуцький Михайло Борисович,218,1
10,38,689,198,Герман Денис Вадимович,26,1
10,39,707,198,Павліш Павло Васильович,159,1
10,40,725,198,Воронько Олег Євгенійович,85,1
10,41,743,198,Сова Олександр Георгійович,269,1
10,42,761,198,Арістов Юрій Юрійович,241,1
11,4,77,219,Культенко Артем Валерійович,250,1
11,5,95,219,Дмитрієва Оксана Олександрівна,302,1
11,6,113,219,Штепа Сергій Сергійович,59,1
11,7,131,219,Кузбит Юрій Михайлович,83,1
11,8,149,219,Тістик Ростислав Ярославович,307,1
11,9,167,219,Веніславський Федір Володимирович,285,1
11,13,239,219,Гевко Володимир Леонідович,144,1
11,14,257,219,Костюх Анатолій Вячеславович,273,1
11,15,275,219,Стріхарський Андрій Петрович,173,1
11,16,293,219,Діденко Юлія Олександрівна,231,1
11,17,311,219,Савченко Ольга Станіславівна,265,1
11,20,365,219,Колєв Олег Вікторович,111,1
11,21,383,219,Шол Маргарита Віталіївна,303,1
11,22,401,219,Дубінський Олександр Анатолійович,76,1
11,23,419,219,Фріс Ігор Павлович,66,1
11,25,455,219,Нальотов Дмитро Олександрович,121,1
11,26,473,219,Зуб Валерій Олексійович,186,1
11,27,491,219,Нікітіна Марина Вікторівна,64,1
11,28,509,219,Микиша Дмитро Сергійович,158,1
11,31,563,219,Беленюк Жан Венсанович,210,1
11,32,581,219,Булах Лада Валентинівна,286,1
11,33,599,219,Вільне місце,,
11,34,617,219,Богданець Андрій Володимирович,140,1
11,35,635,219,Заблоцький Мар'ян Богданович,279,1
11,39,707,219,Медяник В'ячеслав Анатолійович,18,1
11,40,725,219,Остапенко Анатолій Дмитрович,427,1
11,41,743,219,Мурдій Ігор Юрійович,82,1
11,42,761,219,Кириченко Микола Олександрович,252,1
11,43,779,219,Чернєв Єгор Володимирович,226,1
11,44,797,219,Задорожній Микола Миколайович,139,1
11,46,833,219,Корявченков Юрій Валерійович,24,1
12,4,77,240,Красносільська Анастасія Олегівна,208,1
12,5,95,240,Колебошин Сергій Валерійович,117,1
12,6,113,240,Аллахвердієва Ірина Валеріївна,312,1
12,7,131,240,Підласа Роксолана Андріївна,300,1
12,8,149,240,Леонов Олексій Олександрович,112,1
12,11,203,240,Холодов Андрій Іванович,222,1
12,12,221,240,Соха Роман Васильович,57,1
12,13,239,240,Федієнко Олександр Павлович,289,1
12,14,257,240,Ватрас Володимир Антонович,270,1
12,15,275,240,Неклюдов Владлен Михайлович,235,1
12,16,293,240,Воронов Володимир Анатолійович,240,1
12,19,347,240,Мокан Василь Іванович,299,1
12,20,365,240,Захарченко Володимир Васильович,22,1
12,21,383,240,Боблях Андрій Ростиславович,122,1
12,22,401,240,Гузенко Максим Васильович,138,1
12,23,419,240,Юрченко Олександр Миколайович,188,1
12,25,455,240,Совгиря Ольга Володимирівна,318,1
12,26,473,240,Прощук Едуард Петрович,67,1
12,27,491,240,Маріковський Олександр Валерійович,288,1
12,28,509,240,Тарасов Олег Сергійович,272,1
12,29,527,240,Драбовський Анатолій Григорович,3,1
12,32,581,240,Перебийніс Максим Вікторович,189,1
12,33,599,240,Божик Валерій Іванович,181,1
12,34,617,240,Андрійович Зіновій Мирославович,69,1
12,35,635,240,Герус Андрій Михайлович,217,1
12,36,653,240,Аліксійчук Олександр Васильович,131,1
12,37,671,240,Соломчук Дмитро Вікторович,232,1
12,40,725,240,Криворучкіна Олена Володимирівна,23,1
12,41,743,240,Вільне місце,,
12,42,761,240,Васильєв Ігор Сергійович,135,1
12,43,779,240,Юраш Святослав Андрійович,227,1
12,44,797,240,Козак Володимир Васильович,267,1
12,46,833,240,Стефанчук Микола Олексійович,164,1
13,4,77,261,Ткаченко Максим Миколайович,225,1
13,5,95,261,Горбенко Руслан Олександрович,305,1
13,6,113,261,Іонушас Сергій Костянтинович,237,1
